"","O3","RH","SR","TOUT","WSR","O3P"
"667",7,83,0.02,8.14,4.4,19.25
"668",3,83,0.004,8,3.4,16.75
"669",4,82,0.004,8.14,3.3,14
"670",3,81,0.003,8.15,2.1,10.875
"671",3,82,0.003,8.29,2.7,8.125
"672",3,83,0.003,8.44,1.8,6.125
"674",5,80,0.002,8.16,2.2,4
"675",13,77,0.002,8.39,1.4,4.85714285714286
"676",16,75,0.002,8.39,1.6,6.71428571428571
"678",18,74,0.002,8.21,1.9,11
"679",14,74,0.002,7.93,3.5,12.5714285714286
"680",10,75,0.002,7.83,0.5,13.5714285714286
"681",5,76,0.009,8.16,3.8,12.5
"682",7,77,0.055,8.36,3.5,12.75
"683",18,69,0.255,10.54,1.7,13.375
"684",26,54,0.382,12.04,7.4,14.625
"685",38,36,0.472,13.23,7.4,17
"686",41,34,0.375,13.54,4.7,19.875
"687",40,37,0.489,14.63,5.6,23.125
"688",42,38,0.504,15.32,6.1,27.125
"689",42,38,0.381,15.99,4.8,31.75
"690",41,39,0.235,16.14,4.4,36
"691",40,44,0.066,14.68,3.4,38.75
"692",23,48,0.005,13.31,6.7,38.375
"693",20,51,0.001,12.63,4.3,36.125
"694",34,52,0.001,12.04,3.7,35.25
"695",30,56,0.001,11.2,6.1,34
"696",28,59,0.001,10.48,4.7,32.25
"697",15,66,0.001,9.17,6.1,28.875
"698",16,68,0.001,8.71,4.3,25.75
"699",12,73,0.001,7.46,1.2,22.25
"700",8,77,0.001,6.78,1.3,20.375
"701",7,78,0.001,6.4,0.7,18.75
"702",5,80,0.001,5.83,0.7,15.125
"703",3,83,0.001,5.57,1.2,11.75
"704",4,79,0.001,6.91,4.6,8.75
"705",3,78,0.007,6.71,1.3,7.25
"706",5,77,0.129,7.74,3.3,5.875
"707",11,60,0.311,11.81,1.9,5.75
"708",20,51,0.458,13.85,4.6,7.25
"709",29,43,0.558,15.97,3.7,10
"710",39,40,0.604,17.92,2.9,14.25
"711",59,38,0.587,18.91,5.1,21.25
"712",67,36,0.508,20.52,3.7,29.125
"713",67,35,0.382,21.62,3.1,37.125
"714",57,36,0.23,21.57,8.3,43.625
"715",45,40,0.072,20.25,8.6,47.875
"716",35,46,0.007,18.36,6.5,49.75
"717",32,49,0.001,17.68,7,50.125
"718",30,53,0.001,16.9,5.8,49
"719",10,61,0.001,14.98,2.7,42.875
"720",5,63,0.002,14.72,2.7,35.125
"721",9,64,0.002,14.61,3.6,27.875
"722",14,66,0.002,14.05,3.1,22.5
"723",7,76,0.001,13.47,3.2,17.75
"724",8,83,0.001,13.1,4,14.375
"725",6,84,0.001,12.5,6.3,11.125
"726",8,86,0.001,12.45,6.6,8.375
"727",5,85,0.001,12.22,5.3,7.75
"728",5,85,0.001,12.09,7.4,7.75
"729",3,81,0.008,11.47,7.6,7
"730",6,81,0.155,13.17,11.8,6
"731",19,71,0.32,15.58,9,7.5
"732",28,60,0.468,17.63,9.9,10
"733",35,50,0.571,20.18,7.1,13.625
"734",44,41,0.613,22.39,6.7,18.125
"735",58,32,0.599,24.24,8.3,24.75
"736",61,26,0.522,25.79,6.9,31.75
"737",61,22,0.389,26.71,5.5,39
"738",64,23,0.236,26.97,5.2,46.25
"739",52,32,0.065,24.18,4.9,50.375
"740",42,36,0.005,21.96,6.6,52.125
"741",36,44,0.001,20.05,7.3,52.25
"742",25,52,0.001,18.33,5.2,49.875
"743",38,52,0.001,18.69,7.9,47.375
"744",19,59,0.001,16.3,5.9,42.125
"746",25,68,0.001,14.35,3.8,33.8571428571429
"747",23,70,0.001,13.67,4.1,29.7142857142857
"748",20,73,0.001,13.04,4,26.5714285714286
"749",13,76,0.001,12.14,2.6,23.2857142857143
"750",12,78,0.001,11.36,3,21.4285714285714
"751",7,80,0.001,10.78,2.4,17
"752",3,81,0.001,10.29,2.3,14.7142857142857
"753",3,79,0.008,10.54,3.7,13.25
"754",5,71,0.14,12.93,3.4,10.75
"755",17,54,0.331,18.14,3.3,10
"756",30,46,0.482,20.1,4.6,11.25
"757",42,44,0.595,21.83,5.5,14.875
"758",55,46,0.643,23.17,6.2,20.25
"759",63,41,0.62,24.43,6.4,27.25
"760",67,36,0.53,25.82,5.8,35.25
"761",59,32,0.398,26.61,8.4,42.25
"762",52,32,0.245,26.18,11,48.125
"763",45,31,0.07,24.98,9.6,51.625
"764",34,35,0.005,23.56,9.5,52.125
"765",38,36,0.001,22.35,6.4,51.625
"766",37,38,0.001,21.63,7.5,49.375
"767",31,45,0.001,20.77,10.2,45.375
"768",31,54,0.001,19.37,8.1,40.875
"769",28,58,0.001,18.49,7.6,37
"770",25,64,0.001,17.05,7.5,33.625
"771",21,71,0.001,14.99,3.1,30.625
"772",15,79,0.001,14.57,3.2,28.25
"773",14,85,0.002,15.36,3.9,25.25
"774",10,83,0.002,15.31,5.1,21.875
"775",7,82,0.002,15.19,5.8,18.875
"776",5,80,0.002,14.63,5.6,15.625
"777",3,76,0.008,13.89,7.6,12.5
"778",6,77,0.106,15.04,6.7,10.125
"779",12,73,0.303,17.3,7.6,9
"780",16,66,0.463,19.23,7,9.125
"781",27,60,0.566,20.79,8.3,10.75
"782",49,45,0.617,23.23,5.9,15.625
"783",65,39,0.586,24.87,6.5,22.875
"784",81,38,0.507,25.94,7.5,32.375
"785",87,39,0.379,26.93,7.1,42.875
"786",83,38,0.232,27.12,13.5,52.5
"787",73,36,0.063,25.92,8.3,60.125
"788",58,43,0.004,23.14,3.9,65.375
"789",36,53,0.001,21.17,4.7,66.5
"790",17,54,0.001,19.32,3.5,62.5
"791",8,58,0.001,17.79,3,55.375
"792",13,61,0.001,16.9,2.7,46.875
"793",5,67,0.001,16.43,2.9,36.625
"794",20,71,0.002,17.64,8,28.75
"795",22,76,0.002,15.83,9.4,22.375
"796",21,75,0.003,15.19,9.2,17.75
"797",22,72,0.003,13.58,11.4,16
"798",19,72,0.002,12.29,9.5,16.25
"799",18,74,0.002,11.21,10.3,17.5
"800",15,75,0.003,10.32,10.6,17.75
"801",10,75,0.006,9.41,10.8,18.375
"802",9,76,0.012,8.58,10,17
"803",8,83,0.03,7.29,9.8,15.25
"804",8,85,0.051,6.89,9.3,13.625
"805",11,79,0.096,6.66,8.9,12.25
"806",11,74,0.087,6.96,10,11.25
"807",11,71,0.105,6.95,9.2,10.375
"809",13,71,0.085,6.59,7.8,10.1428571428571
"810",11,69,0.042,6.58,8.5,10.4285714285714
"811",14,67,0.017,5.72,7.9,11.2857142857143
"812",14,66,0.003,5.47,9.1,12.1428571428571
"813",17,65,0.003,4.85,9.3,13
"814",20,66,0.002,4.46,9.1,14.2857142857143
"815",23,69,0.002,3.93,9.3,16
"816",22,66,0.002,3.89,8.4,16.75
"817",21,66,0.002,3.48,8.6,17.75
"818",24,73,0.002,2.75,7.5,19.375
"819",25,83,0.003,1.87,8.8,20.75
"820",25,85,0.003,1.41,8.9,22.125
"821",24,86,0.003,1.09,8.4,23
"822",25,86,0.003,0.34,9.2,23.625
"823",26,80,0.002,0.02,9.4,24
"824",23,80,0.002,0,8.5,24.125
"825",19,83,0.007,0.01,9.1,23.875
"826",16,80,0.04,0.37,8.8,22.875
"827",13,75,0.106,1.51,8.4,21.375
"828",17,66,0.253,3.18,8.6,20.375
"829",16,63,0.294,4.46,9.3,19.375
"830",19,58,0.313,5.67,8.7,18.625
"831",25,49,0.375,7.54,9.9,18.5
"832",30,42,0.34,8.57,10.4,19.375
"833",28,40,0.221,8.89,8.4,20.5
"834",24,39,0.135,8.9,7,21.5
"835",22,40,0.052,8.75,6.7,22.625
"836",20,39,0.006,8.28,6.2,23
"837",24,36,0.001,7.17,6.8,24
"838",32,35,0.001,6.1,7.6,25.625
"839",31,36,0.001,5.65,5.8,26.375
"840",32,36,0.002,5.5,5.2,26.625
"841",30,37,0.001,5.02,7.1,26.875
"842",30,40,0.001,4,7.6,27.625
"843",30,44,0.001,3.31,8,28.625
"844",34,44,0.001,3.17,7.8,30.375
"845",35,46,0.001,2.85,6.9,31.75
"846",35,47,0.001,2.91,5.4,32.125
"847",38,45,0.001,2.84,6.5,33
"848",30,49,0.001,2.15,4,32.75
"849",10,56,0.009,1.3,3.1,30.25
"850",11,53,0.148,2.84,5.9,27.875
"851",25,41,0.342,6.26,4.5,27.25
"852",34,36,0.488,7.71,5.6,27.25
"853",35,34,0.587,8.94,6.7,27.25
"854",39,33,0.632,10.19,7.7,27.75
"855",44,30,0.622,11.41,7.1,28.5
"856",48,29,0.556,12.91,6.6,30.75
"857",53,29,0.419,13.22,8.4,36.125
"858",50,30,0.262,12.76,10.5,41
"859",45,32,0.078,11.65,11.8,43.5
"860",42,33,0.006,10.01,14.2,44.5
"861",41,33,0.001,9.49,11.3,45.25
"862",37,33,0.001,8.85,9.6,45
"863",35,35,0.001,8.09,9,43.875
"864",39,36,0.001,7.44,8.7,42.75
"865",40,39,0.001,6.85,8,41.125
"866",39,42,0.001,6.32,6,39.75
"867",29,46,0.002,5.77,5.5,37.75
"868",27,49,0.001,5.34,4.6,35.875
"869",25,54,0.001,4.46,3.5,33.875
"870",23,58,0.001,3.76,3.1,32.125
"871",19,61,0.001,3.23,2.3,30.125
"872",8,62,0.001,3.21,2.6,26.25
"873",5,62,0.014,3.32,3.3,21.875
"874",10,54,0.143,5.83,3.2,18.25
"875",18,43,0.281,8.87,6,16.875
"876",24,37,0.424,10.45,6.9,16.5
"877",34,32,0.572,12.51,6.8,17.625
"878",42,29,0.421,13.75,7,20
"879",50,27,0.405,14.85,6.2,23.875
"880",59,26,0.428,16.49,6.6,30.25
"881",66,25,0.376,17.8,5.4,37.875
"882",74,25,0.217,18.57,5.7,45.875
"883",69,28,0.048,17.01,8.2,52.25
"884",68,31,0.008,15.92,9.2,57.75
"885",71,34,0.002,14.58,5.6,62.375
"886",48,59,0.002,12.18,5,63.125
"887",30,81,0.003,9.82,4.3,60.625
"888",31,84,0.002,9.62,7.1,57.125
"889",29,83,0.003,9.68,6,52.5
"890",25,84,0.002,9.78,4,46.375
"891",23,86,0.003,9.82,4.1,40.625
"892",21,86,0.003,9.7,3.7,34.75
"893",16,86,0.003,9.74,4.6,27.875
"894",3,87,0.003,9.93,3.9,22.25
"895",18,76,0.005,10.85,6.9,20.75
"896",6,75,0.004,10.83,7.8,17.625
"897",8,77,0.006,10.65,5.1,15
"898",8,75,0.027,11.11,4.1,12.875
"899",12,68,0.053,11.52,8.1,11.5
"900",12,67,0.092,11.78,6.9,10.375
"901",24,57,0.12,12.15,8,11.375
"902",33,49,0.132,12.29,7.8,15.125
"903",35,47,0.138,12.51,5.9,17.25
"904",37,45,0.131,12.85,5.7,21.125
"905",37,43,0.095,12.7,5.7,24.75
"906",34,43,0.069,12.59,5.2,28
"907",31,41,0.037,12.55,6.4,30.375
"908",23,43,0.004,12.37,5.4,31.75
"909",17,47,0.002,11.87,3.8,30.875
"910",11,51,0.002,11.42,4,28.125
"911",8,51,0.002,11.16,4.9,24.75
"912",5,58,0.002,10.46,6.3,20.75
"913",6,62,0.002,9.86,7.3,16.875
"914",7,66,0.001,8.77,3.7,13.5
"915",7,70,0.001,7.31,3.1,10.5
"916",12,71,0.001,6.3,3.3,9.125
"917",11,72,0.001,5.49,3.2,8.375
"918",8,73,0.001,4.83,2.4,8
"919",5,73,0.001,4.46,2.9,7.625
"920",3,74,0.001,4.12,3,7.375
"921",3,72,0.009,4.22,2.9,7
"922",5,61,0.155,7.51,3.3,6.75
"923",18,43,0.358,12.2,5.3,8.125
"924",33,33,0.504,14.78,5.4,10.75
"925",42,30,0.609,15.85,6.6,14.625
"926",44,30,0.652,16.93,7.3,19.125
"927",52,28,0.628,17.87,7.2,25
"928",58,26,0.548,18.52,7.5,31.875
"929",62,26,0.421,19.29,7.3,39.25
"930",66,27,0.266,18.83,9.5,46.875
"931",65,29,0.086,17.64,11.7,52.75
"932",40,31,0.007,15.91,7.6,53.625
"933",45,34,0.001,14.62,8.5,54
"934",26,39,0.001,13.31,7.5,51.75
"935",24,45,0.001,11.76,6.4,48.25
"936",24,50,0.001,10.43,6.7,44
"937",22,54,0.001,9.62,5.9,39
"938",25,57,0.001,8.95,4.3,33.875
"939",29,61,0.001,7.92,2.8,29.375
"940",20,67,0.001,6.65,1.9,26.875
"941",16,68,0.001,6.61,2.4,23.25
"942",8,72,0.001,5.53,2.2,21
"943",7,69,0.001,6.68,4.4,18.875
"944",3,71,0.001,5.64,2.5,16.25
"945",3,74,0.009,5.61,2.9,13.875
"946",5,65,0.155,8.6,3,11.375
"947",16,45,0.356,13.42,5.5,9.75
"948",22,37,0.501,15.73,6.1,10
"949",29,33,0.6,17.67,6.5,11.625
"950",48,30,0.643,19.11,7.6,16.625
"951",63,27,0.614,20.15,7.8,23.625
"952",72,25,0.531,21.33,6.6,32.25
"953",78,25,0.408,21.75,7.6,41.625
"954",84,26,0.256,21.54,10.5,51.5
"955",78,29,0.084,20.43,11.8,59.25
"956",49,32,0.007,18.73,7.4,62.625
"957",44,35,0.001,17.57,8.1,64.5
"958",36,39,0.001,16.86,8,63
"959",33,43,0.001,15.93,7.1,59.25
"960",40,49,0.001,14.92,6.9,55.25
"961",37,56,0.001,13.68,6.8,50.125
"962",29,62,0.001,12.5,6.8,43.25
"963",28,72,0.001,11.29,4.1,37
"964",26,77,0.001,10.61,5.2,34.125
"965",24,79,0.001,10.07,4.4,31.625
"966",21,79,0.001,10.16,5.6,29.75
"967",15,80,0.002,10.04,5.4,27.5
"968",5,79,0.002,10.27,6,23.125
"969",3,79,0.013,10.47,5.1,18.875
"970",7,74,0.129,11.58,4.8,16.125
"971",13,66,0.266,13.53,6,14.25
"972",21,61,0.471,15.57,7.4,13.625
"973",41,57,0.499,16.93,7.1,15.75
"974",49,53,0.46,17.89,7,19.25
"975",53,50,0.51,19.06,7.5,24
"976",64,47,0.508,19.96,9,31.375
"977",81,45,0.311,19.86,8.1,41.125
"978",75,44,0.201,20.07,6.5,49.625
"979",52,49,0.061,19.13,8.1,54.5
"980",40,51,0.006,18.27,8.7,56.875
"981",32,55,0.002,17.52,8.3,55.75
"982",38,58,0.002,17.01,9.6,54.375
"983",34,65,0.002,16.03,8.3,52
"984",33,72,0.002,14.99,9.4,48.125
"985",30,76,0.002,14.5,8,41.75
"986",25,78,0.002,14.09,6.7,35.5
"987",30,80,0.002,13.82,6,32.75
"988",24,81,0.002,13.63,6.6,30.75
"989",27,82,0.002,13.42,7,30.125
"990",27,79,0.002,13.63,6.6,28.75
"991",15,79,0.001,13.11,4.6,26.375
"992",9,82,0.001,12.11,4.9,23.375
"993",4,82,0.008,11.15,4.1,20.125
"994",7,77,0.142,12.69,5.3,17.875
"995",11,67,0.322,16.36,4.2,15.5
"996",22,61,0.465,17.88,5.2,15.25
"997",47,48,0.581,20.22,7.1,17.75
"998",55,48,0.617,21.09,7.1,21.25
"999",71,45,0.592,21.97,8.2,28.25
"1000",80,39,0.513,23.7,6,37.125
"1001",62,37,0.397,24.49,9,44.375
"1002",50,37,0.236,23.82,10.6,49.75
"1003",44,42,0.086,22.68,10.5,53.875
"1004",40,50,0.008,21,12,56.125
"1005",34,57,0.001,19.77,7.5,54.5
"1006",32,65,0.001,18.19,7.4,51.625
"1007",29,69,0.001,17,7.6,46.375
"1008",15,73,0.001,16.03,7.8,38.25
"1009",7,76,0.001,14.42,2.4,31.375
"1010",11,83,0.001,14.51,4,26.5
"1011",8,85,0.002,14.61,3.6,22
"1012",4,82,0.002,14.87,4.1,17.5
"1013",5,81,0.001,14.36,3.6,13.875
"1014",6,82,0.001,13.38,5.2,10.625
"1015",3,81,0.001,12.99,6.2,7.375
"1016",3,81,0.001,12.23,5.6,5.875
"1017",3,80,0.011,10.79,3.4,5.375
"1018",4,72,0.151,13.04,3.5,4.5
"1019",13,53,0.346,18.32,7.7,5.125
"1020",34,58,0.488,18.59,10.9,8.875
"1021",41,51,0.583,20.01,10.5,13.375
"1022",45,43,0.619,21.39,9.7,18.25
"1023",44,36,0.598,21.56,11.2,23.375
"1024",43,33,0.534,21.54,11.8,28.375
"1025",42,31,0.409,21.05,11,33.25
"1026",41,32,0.234,19.77,11.2,37.875
"1027",40,33,0.055,18.03,9.8,41.25
"1028",39,32,0.007,17.07,7.6,41.875
"1029",38,33,0.002,15.87,6.6,41.5
"1030",36,32,0.002,15,6.1,40.375
"1031",36,31,0.002,14.59,5.7,39.375
"1032",35,32,0.002,13.97,5.5,38.375
"1033",35,37,0.002,12.95,7.2,37.5
"1034",32,47,0.001,10.85,8.3,36.375
"1035",29,52,0.001,9.45,5.8,35
"1036",32,54,0.001,8.42,7.3,34.125
"1037",34,54,0.001,7.55,5.8,33.625
"1038",29,59,0.001,6.88,7.9,32.75
"1039",24,64,0.001,6.14,7.3,31.25
"1040",16,68,0.001,5.4,3.7,28.875
"1041",9,69,0.011,5.18,3.4,25.625
"1042",15,60,0.164,7.54,4.8,23.5
"1043",30,44,0.367,11.64,4.7,23.625
"1044",35,39,0.523,12.68,6,24
"1045",44,33,0.616,14.34,6.7,25.25
"1046",47,33,0.607,15.04,7.4,27.5
"1047",50,32,0.548,15.66,7.7,30.75
"1048",50,30,0.543,16.94,6.8,35
"1049",46,30,0.389,17.1,8.9,39.625
"1050",44,31,0.218,16.23,11.6,43.25
"1051",43,33,0.07,14.97,13,44.875
"1052",40,33,0.01,14.14,11.4,45.5
"1053",35,34,0.001,13.29,8.1,44.375
"1054",33,37,0.001,12.12,9.1,42.625
"1055",32,38,0.001,11.13,9.3,40.375
"1056",40,35,0.001,10.89,6.7,39.125
"1057",28,41,0.001,9.65,6.8,36.875
"1058",28,47,0.001,8.3,8.5,34.875
"1059",27,50,0.001,7.64,6.3,32.875
"1060",26,53,0.001,6.99,3.7,31.125
"1061",23,55,0.001,6.41,3.8,29.625
"1062",22,58,0.001,5.6,2.4,28.25
"1063",17,59,0.001,5.36,2.8,26.375
"1064",4,61,0.001,4.86,2.3,21.875
"1065",3,65,0.01,4.19,2.1,18.75
"1066",6,58,0.163,6.99,4.1,16
"1067",14,40,0.364,12.71,3.7,14.375
"1068",26,34,0.51,14.24,6.4,14.375
"1069",31,30,0.604,16.24,6.6,15.375
"1070",41,27,0.646,18.08,6.4,17.75
"1071",51,25,0.625,19.87,6.1,22
"1072",54,23,0.555,21.21,8.2,28.25
"1073",56,24,0.436,21.24,11.3,34.875
"1074",51,26,0.283,20.76,13.6,40.5
"1075",45,29,0.105,19.86,17.6,44.375
"1076",40,33,0.009,18.32,18.8,46.125
"1077",32,35,0.001,17.37,12.7,46.25
"1078",28,39,0.001,15.87,8.3,44.625
"1079",30,43,0.001,15.08,6.8,42
"1080",18,46,0.001,14.1,6.8,37.5
"1081",16,52,0.001,12.73,3.5,32.5
"1082",26,60,0.001,11.64,4.1,29.375
"1083",23,65,0.001,10.71,3.2,26.625
"1084",14,69,0.001,9.44,3.5,23.375
"1085",16,70,0.001,9.66,5.2,21.375
"1086",11,71,0.001,9.32,5.9,19.25
"1087",7,72,0.001,8.96,5.4,16.375
"1088",4,72,0.001,9.13,5.9,14.625
"1089",3,73,0.011,8.93,5.5,13
"1090",7,67,0.158,11.2,3,10.625
"1091",12,58,0.355,13.8,5.3,9.25
"1092",18,48,0.5,16.12,5,9.75
"1093",29,43,0.597,18.19,5.7,11.375
"1094",49,39,0.64,19.62,7.4,16.125
"1095",60,35,0.622,21.67,6.1,22.75
"1096",66,30,0.552,24.09,8.4,30.5
"1097",67,29,0.433,24.64,10.4,38.5
"1098",55,30,0.284,24.17,15.7,44.5
"1099",49,32,0.107,23.27,21.4,49.125
"1100",36,35,0.008,21.96,12,51.375
"1101",30,38,0.001,20.65,10.6,51.5
"1102",28,42,0.001,19.43,11.3,48.875
"1103",41,44,0.001,18.89,8.9,46.5
"1104",46,45,0.001,18.8,6.9,44
"1105",44,49,0.001,17.97,5.6,41.125
"1106",37,54,0.001,16.52,5.2,38.875
"1107",24,65,0.001,14.8,4.4,35.75
"1108",21,73,0.001,13.63,4.6,33.875
"1109",19,77,0.001,13.24,6.2,32.5
"1110",17,79,0.001,12.78,5.9,31.125
"1111",9,80,0.001,12.18,4,27.125
"1112",4,80,0.001,11.83,5.2,21.875
"1113",3,79,0.01,11.72,4.8,16.75
"1114",5,76,0.165,13.69,5.3,12.75
"1115",12,65,0.362,16.63,5.7,11.25
"1116",24,49,0.503,20.33,4.3,11.625
"1117",34,41,0.602,23.33,6.1,13.5
"1118",51,38,0.639,24.99,6.5,17.75
"1119",83,34,0.622,27.27,7.1,27
"1120",100,30,0.55,29.39,7,39
"1121",101,28,0.427,29.77,8.6,51.25
"1122",71,22,0.281,30.84,10.6,59.5
"1123",48,29,0.105,29.55,11.3,64
"1124",34,33,0.008,27.43,8.2,65.25
"1125",36,37,0.001,25.84,6.7,65.5
"1126",37,42,0.001,24.19,7.3,63.75
"1127",21,47,0.001,22.58,5.5,56
"1128",20,52,0.001,21.23,5.9,46
"1129",10,55,0.001,20.17,4.3,34.625
"1130",4,60,0.001,18.87,3.7,26.25
"1131",5,62,0.001,18.27,5.7,20.875
"1132",6,63,0.001,17.88,5.3,17.375
"1133",4,65,0.001,16.46,4.6,13.375
"1134",3,66,0.001,15.07,3.5,9.125
"1135",4,59,0.001,14.99,3.5,7
"1136",3,57,0.001,15.05,3.9,4.875
"1137",3,60,0.011,14.45,2.7,4
"1138",8,47,0.177,17.96,7.5,4.5
"1139",30,35,0.367,21.42,13.8,7.625
"1140",37,27,0.507,22.38,11.2,11.5
"1141",42,23,0.599,23.86,8.9,16.25
"1142",45,21,0.631,25.77,7.9,21.5
"1143",50,20,0.609,26.96,8.2,27.25
"1144",57,19,0.535,28.38,7.4,34
"1145",54,22,0.422,27.97,16.1,40.375
"1146",52,25,0.272,26.46,20.8,45.875
"1147",50,25,0.104,25.45,21,48.375
"1148",45,24,0.01,24.3,18.9,49.375
"1149",43,19,0.001,23.72,17,49.5
"1150",40,18,0.001,23.04,13.6,48.875
"1151",39,20,0.001,22.03,10.1,47.5
"1152",47,15,0.001,21.47,7.5,46.25
"1153",34,16,0.002,20.46,5.9,43.75
"1154",33,28,0.002,17.65,10.4,41.375
"1155",29,38,0.001,15.01,10.6,38.75
"1156",28,41,0.001,13.59,10.8,36.625
"1157",27,42,0.001,12.3,9.7,34.625
"1158",26,43,0.001,11.12,7.6,32.875
"1159",26,44,0.001,10.37,6.4,31.25
"1160",22,44,0.001,9.99,7.4,28.125
"1161",23,44,0.013,9.38,8,26.75
"1162",24,41,0.173,10.01,9.4,25.625
"1163",27,38,0.37,11.27,7.6,25.375
"1164",29,36,0.511,12.32,9.4,25.5
"1165",37,30,0.604,14.15,8.8,26.75
"1166",44,28,0.645,15.48,8.5,29
"1167",49,26,0.626,16.85,6.9,31.875
"1168",55,26,0.551,17.83,7.8,36
"1169",59,25,0.427,18.47,7.8,40.5
"1170",61,25,0.289,19.04,6.7,45.125
"1171",58,27,0.127,18.62,10.6,49
"1172",49,30,0.01,16.45,16.7,51.5
"1173",39,26,0.001,15.4,17.5,51.75
"1174",36,26,0.001,14.74,14.3,50.75
"1175",31,28,0.002,14.16,8.3,48.5
"1176",27,32,0.002,13.4,10.5,45
"1177",33,35,0.002,12.54,8.7,41.75
"1178",41,33,0.002,12.59,6.9,39.25
"1179",36,36,0.001,11.76,7.3,36.5
"1180",31,38,0.001,10.92,7.8,34.25
"1181",27,40,0.001,10.38,4.3,32.75
"1182",28,45,0.001,9.26,3.4,31.75
"1183",20,48,0.001,8.69,3.3,30.375
"1184",12,51,0.001,7.97,3.3,28.5
"1185",12,49,0.014,8.17,7.5,25.875
"1186",13,43,0.182,10.24,9,22.375
"1187",22,36,0.369,13.8,6.8,20.625
"1188",38,34,0.516,14.52,7.8,21.5
"1189",47,31,0.557,16.15,7.3,24
"1190",50,25,0.656,18.12,7.2,26.75
"1191",50,24,0.594,18.56,11.2,30.5
"1192",52,25,0.552,18.77,13.1,35.5
"1193",52,26,0.399,18.64,15.6,40.5
"1194",50,26,0.288,18.61,18.7,45.125
"1195",50,27,0.113,17.99,20.8,48.625
"1196",49,29,0.01,16.81,19.7,50
"1197",49,32,0.001,15.9,23.7,50.25
"1198",44,33,0.001,15.45,15.2,49.5
"1199",31,36,0.001,14.47,8.4,47.125
"1200",31,37,0.001,14,8.4,44.5
"1201",33,39,0.001,13.5,7.3,42.125
"1202",34,42,0.002,13.17,6.7,40.125
"1203",36,46,0.002,13.24,6.3,38.375
"1204",33,51,0.002,12.78,5.2,36.375
"1205",28,57,0.001,11.41,4.1,33.75
"1206",24,61,0.001,10.64,2.6,31.25
"1207",19,62,0.001,10.44,3.3,29.75
"1208",10,64,0.001,10.06,4,27.125
"1209",7,66,0.014,9.8,3.5,23.875
"1210",11,58,0.166,12.18,3.4,21
"1211",23,52,0.354,14.72,5.8,19.375
"1212",31,46,0.491,16.29,7,19.125
"1213",41,40,0.564,18.07,6.5,20.75
"1214",57,37,0.63,19.36,7.2,24.875
"1215",73,35,0.619,21.2,6.4,31.625
"1216",78,33,0.537,22.53,7.5,40.125
"1217",54,30,0.416,24.38,11.1,46
"1218",53,30,0.264,25.37,8.7,51.25
"1219",47,33,0.115,24.98,8.9,54.25
"1220",38,38,0.011,23.13,6.9,55.125
"1221",34,45,0.001,21.46,4.9,54.25
"1222",21,48,0.001,20.3,4.8,49.75
"1223",10,53,0.001,18.6,3.1,41.875
"1224",8,58,0.001,17.67,3,33.125
"1225",5,62,0.001,17.06,2.5,27
"1226",12,67,0.001,16.73,4.9,21.875
"1227",20,68,0.001,16.89,8,18.5
"1228",19,71,0.001,15.76,4.2,16.125
"1229",14,74,0.001,14.93,2.9,13.625
"1230",9,75,0.001,14.65,3.2,12.125
"1231",7,76,0.001,14.22,3.8,11.75
"1232",4,75,0.002,14.21,2.7,11.25
"1233",3,75,0.013,14.11,2.8,11
"1234",5,67,0.172,17.05,2.3,10.125
"1235",18,46,0.363,22.05,3.6,9.875
"1236",25,41,0.504,24.14,4.4,10.625
"1237",40,38,0.599,25.6,6.3,13.875
"1238",66,38,0.641,27.72,6.1,21
"1239",77,31,0.526,30.16,5.8,29.75
"1240",69,29,0.465,31.4,6.6,37.875
"1241",50,27,0.421,32.11,10.2,43.75
"1242",47,28,0.288,31.78,11.4,49
"1243",40,28,0.115,31.03,9.6,51.75
"1244",36,33,0.008,28.71,7.9,53.125
"1245",32,38,0.001,27.03,8.5,52.125
"1246",37,43,0.001,25.65,7.8,48.5
"1247",27,47,0.001,24.42,8.3,42.25
"1248",26,48,0.001,22.84,7.8,36.875
"1249",14,54,0.001,21.29,3.6,32.375
"1250",11,52,0.001,21.93,8.1,27.875
"1251",3,56,0.001,21.58,6.1,23.25
"1252",5,62,0.001,20.44,8.1,19.375
"1253",9,65,0.001,19.81,7,16.5
"1254",6,66,0.001,18.78,6,12.625
"1255",4,68,0.001,17.79,3.4,9.75
"1256",2,70,0.001,16.63,3.6,6.75
"1257",3,68,0.013,15.85,2.7,5.375
"1258",4,58,0.179,19.2,3.1,4.5
"1259",10,38,0.379,25.31,4.6,5.375
"1260",22,22,0.517,30.38,6.8,7.5
"1261",37,18,0.605,32.94,6.1,11
"1262",48,15,0.647,34.22,7.8,16.25
"1263",61,14,0.626,35.09,5.8,23.375
"1264",71,15,0.551,34.99,8.5,32
"1265",69,16,0.429,34.73,11.4,40.25
"1266",57,15,0.283,34.5,10.7,46.875
"1267",46,20,0.114,33.53,9.4,51.375
"1268",36,24,0.01,31.09,7.8,53.125
"1269",19,27,0.001,29.55,7.3,50.875
"1270",19,29,0.001,28.68,6.7,47.25
"1271",27,32,0.001,27.85,9.3,43
"1272",26,36,0.001,26.61,9.3,37.375
"1273",30,40,0.001,25.77,9.4,32.5
"1274",32,43,0.001,24.98,9.5,29.375
